RegionName,MinX,MaxX,MinY,MaxY
Amazon_Rainforest,7282052.0,12722855.0,-1814898.0,0.0
Sahara_Desert,3665143.0,7697294.0,16203728.0,17082220.0
Himalayas,-2563244.0,-1861617.0,15581249.0,17023124.0
Great_Barrier_Reef,-11576419.0,-9054453.0,-10468725.0,-7026355.0
Yosemite,782887.0,816121.0,4155153.0,4211934.0
